"orderDate";"productName";"Quantitysold";"quantityInStock";"productLine";"rang_pdts";"taux_ecoulement_stock"
"2022-02-26";"The Schooner Bluenose";41.0;190;"Ships";743;0.22
"2022-02-26";"The Titanic";39.0;196;"Ships";915;0.2
"2022-02-26";"Collectable Wooden Train";38.0;645;"Trains";997;0.06
"2022-02-26";"The USS Constitution Ship";31.0;708;"Ships";1589;0.04
"2022-02-26";"1969 Ford Falcon";29.0;105;"Classic Cars";1763;0.28
"2022-02-26";"The Mayflower";29.0;74;"Ships";1763;0.39
"2022-02-26";"Pont Yacht";25.0;41;"Ships";2119;0.61
"2022-02-26";"1903 Ford Model A";22.0;391;"Vintage Cars";2370;0.06
"2022-02-26";"The Queen Mary";22.0;509;"Ships";2370;0.04
"2022-03-04";"Corsair F4U ( Bird Cage)";50.0;681;"Planes";12;0.07
"2022-03-04";"1900s Vintage Bi-Plane";49.0;594;"Planes";77;0.08
"2022-03-04";"American Airlines: MD-11S";48.0;882;"Planes";163;0.05
"2022-03-04";"Boeing X-32A JSF";48.0;486;"Planes";163;0.1
"2022-03-04";"F/A 18 Hornet 1/72";44.0;55;"Planes";502;0.8
"2022-03-04";"1999 Yamaha Speed Boat";41.0;426;"Ships";743;0.1
"2022-03-04";"1941 Chevrolet Special Deluxe Cabriolet";41.0;238;"Vintage Cars";743;0.17
"2022-03-04";"1930 Buick Marquette Phaeton";39.0;706;"Vintage Cars";915;0.06
"2022-03-04";"1980s Black Hawk Helicopter";36.0;533;"Planes";1154;0.07
"2022-03-04";"P-51-D Mustang";34.0;99;"Planes";1301;0.34
"2022-03-04";"America West Airlines B757-200";34.0;965;"Planes";1301;0.04
"2022-03-04";"1928 Ford Phaeton Deluxe";33.0;14;"Vintage Cars";1409;2.36
"2022-03-04";"ATA: B757-300";32.0;711;"Planes";1503;0.05
"2022-03-04";"1937 Horch 930V Limousine";31.0;290;"Vintage Cars";1589;0.11
"2022-03-04";"American Airlines: B767-300";31.0;584;"Planes";1589;0.05
"2022-03-04";"HMS Bounty";30.0;350;"Ships";1688;0.09
"2022-03-04";"1928 British Royal Navy Airplane";28.0;363;"Planes";1857;0.08
"2022-03-04";"1900s Vintage Tri-Plane";26.0;276;"Planes";2031;0.09
"2022-03-11";"1996 Moto Guzzi 1100i";39.0;663;"Motorcycles";915;0.06
"2022-03-11";"1960 BSA Gold Star DBD34";38.0;2;"Motorcycles";997;19.0
"2022-03-11";"1969 Harley Davidson Ultimate Chopper";30.0;793;"Motorcycles";1688;0.04
"2022-03-11";"1936 Harley Davidson El Knucklehead";29.0;436;"Motorcycles";1763;0.07
"2022-03-11";"2003 Harley-Davidson Eagle Drag Bike";27.0;558;"Motorcycles";1935;0.05
"2022-03-11";"1997 BMW R 1100 S";25.0;700;"Motorcycles";2119;0.04
"2022-03-11";"2002 Suzuki XREO";21.0;1000;"Motorcycles";2458;0.02
"2022-03-11";"1997 BMW F650 ST";20.0;18;"Motorcycles";2556;1.11
"2022-03-18";"1968 Dodge Charger";45.0;912;"Classic Cars";416;0.05
"2022-03-18";"1957 Corvette Convertible";44.0;125;"Classic Cars";502;0.35
"2022-03-18";"1957 Vespa GS150";43.0;769;"Motorcycles";589;0.06
"2022-03-18";"1956 Porsche 356A Coupe";40.0;660;"Classic Cars";835;0.06
"2022-03-18";"1970 Plymouth Hemi Cuda";39.0;566;"Classic Cars";915;0.07
"2022-03-18";"1948 Porsche 356-A Roadster";38.0;883;"Classic Cars";997;0.04
"2022-03-18";"1969 Dodge Charger";36.0;732;"Classic Cars";1154;0.05
"2022-03-18";"1982 Ducati 900 Monster";35.0;684;"Motorcycles";1234;0.05
"2022-03-18";"2002 Yamaha YZR M1";34.0;60;"Motorcycles";1301;0.57
"2022-03-18";"1968 Ford Mustang";33.0;7;"Classic Cars";1409;4.71
"2022-03-18";"1961 Chevrolet Impala";31.0;787;"Classic Cars";1589;0.04
"2022-03-18";"1974 Ducati 350 Mk3 Desmo";31.0;334;"Motorcycles";1589;0.09
"2022-03-18";"1971 Alpine Renault 1600s";30.0;800;"Classic Cars";1688;0.04
"2022-03-18";"1976 Ford Gran Torino";29.0;913;"Classic Cars";1763;0.03
"2022-03-18";"1982 Ducati 996 R";27.0;924;"Motorcycles";1935;0.03
"2022-03-18";"1969 Dodge Super Bee";26.0;192;"Classic Cars";2031;0.14
"2022-03-25";"1948 Porsche Type 356 Roadster";47.0;899;"Classic Cars";256;0.05
"2022-03-25";"1992 Ferrari 360 Spider red";46.0;835;"Classic Cars";320;0.06
"2022-03-25";"1995 Honda Civic";38.0;977;"Classic Cars";997;0.04
"2022-03-25";"1982 Lamborghini Diablo";29.0;772;"Classic Cars";1763;0.04
"2022-03-25";"1993 Mazda RX-7";26.0;398;"Classic Cars";2031;0.07
"2022-03-25";"1999 Indy 500 Monte Carlo SS";26.0;816;"Classic Cars";2031;0.03
"2022-04-02";"1936 Mercedes Benz 500k Roadster";48.0;208;"Vintage Cars";163;0.23
"2022-04-02";"1952 Citroen-15CV";46.0;145;"Classic Cars";320;0.32
"2022-04-02";"1949 Jaguar XK 120";43.0;235;"Classic Cars";589;0.18
"2022-04-02";"1917 Grand Touring Sedan";42.0;272;"Vintage Cars";670;0.15
"2022-04-02";"1957 Ford Thunderbird";42.0;321;"Classic Cars";670;0.13
"2022-04-02";"1938 Cadillac V-16 Presidential Limousine";39.0;285;"Vintage Cars";915;0.14
"2022-04-02";"1965 Aston Martin DB5";37.0;904;"Classic Cars";1082;0.04
"2022-04-02";"2002 Chevy Corvette";37.0;945;"Classic Cars";1082;0.04
"2022-04-02";"1970 Chevy Chevelle SS 454";36.0;101;"Classic Cars";1154;0.36
"2022-04-02";"1932 Model A Ford J-Coupe";33.0;935;"Vintage Cars";1409;0.04
"2022-04-02";"1911 Ford Town Car";32.0;54;"Vintage Cars";1503;0.59
"2022-04-02";"1928 Mercedes-Benz SSK";31.0;55;"Vintage Cars";1589;0.56
"2022-04-02";"1966 Shelby Cobra 427 S/C";29.0;820;"Classic Cars";1763;0.04
"2022-04-02";"1932 Alfa Romeo 8C2300 Spider Sport";28.0;655;"Vintage Cars";1857;0.04
"2022-04-02";"1969 Chevrolet Camaro Z28";27.0;470;"Classic Cars";1935;0.06
"2022-04-02";"1939 Chevrolet Deluxe Coupe";20.0;733;"Vintage Cars";2556;0.03
"2022-04-08";"1952 Alpine Renault 1300";29.0;731;"Classic Cars";1763;0.04
"2022-04-08";"1913 Ford Model T Speedster";23.0;419;"Vintage Cars";2296;0.05
"2022-04-09";"1936 Mercedes-Benz 500K Special Roadster";48.0;864;"Vintage Cars";163;0.06
"2022-04-09";"18th Century Vintage Horse Carriage";43.0;599;"Vintage Cars";589;0.07
"2022-04-09";"1917 Maxwell Touring Car";39.0;791;"Vintage Cars";915;0.05
"2022-04-09";"1937 Lincoln Berline";33.0;869;"Vintage Cars";1409;0.04
"2022-04-09";"1934 Ford V8 Coupe";28.0;565;"Vintage Cars";1857;0.05
"2022-04-09";"1936 Chrysler Airflow";26.0;471;"Vintage Cars";2031;0.06
"2022-04-10";"1939 Cadillac Limousine";50.0;665;"Vintage Cars";12;0.08
"2022-04-10";"1940 Ford Pickup Truck";49.0;261;"Trucks and Buses";77;0.19
"2022-04-10";"1996 Peterbilt 379 Stake Bed with Outrigger";23.0;81;"Trucks and Buses";2296;0.28
"2022-04-10";"1958 Setra Bus";21.0;158;"Trucks and Buses";2458;0.13
"2022-04-16";"1992 Ferrari 360 Spider red";48.0;835;"Classic Cars";163;0.06
"2022-04-16";"1926 Ford Fire Engine";45.0;202;"Trucks and Buses";416;0.22
"2022-04-16";"1982 Camaro Z28";42.0;693;"Classic Cars";670;0.06
"2022-04-16";"1940s Ford truck";41.0;313;"Trucks and Buses";743;0.13
"2022-04-16";"1964 Mercedes Tour Bus";39.0;826;"Trucks and Buses";915;0.05
"2022-04-16";"1980’s GM Manhattan Express";32.0;510;"Trucks and Buses";1503;0.06
"2022-04-16";"1962 LanciaA Delta 16V";31.0;679;"Classic Cars";1589;0.05
"2022-04-16";"1954 Greyhound Scenicruiser";28.0;287;"Trucks and Buses";1857;0.1
"2022-04-16";"1958 Chevy Corvette Limited Edition";24.0;254;"Classic Cars";2211;0.09
"2022-04-16";"1962 Volkswagen Microbus";21.0;233;"Trucks and Buses";2458;0.09
"2022-04-19";"1970 Dodge Coronet";47.0;407;"Classic Cars";256;0.12
"2022-04-19";"1957 Chevy Pickup";46.0;613;"Trucks and Buses";320;0.08
"2022-04-19";"1998 Chrysler Plymouth Prowler";46.0;472;"Classic Cars";320;0.1
"2022-04-19";"1992 Porsche Cayenne Turbo Silver";44.0;658;"Classic Cars";502;0.07
"2022-04-19";"Diamond T620 Semi-Skirted Tanker";27.0;102;"Trucks and Buses";1935;0.26
"2022-04-26";"1950's Chicago Surface Lines Streetcar";27.0;860;"Trains";1935;0.03
"2022-05-01";"Pont Yacht";50.0;41;"Ships";12;1.22
"2022-05-01";"The Queen Mary";45.0;509;"Ships";416;0.09
"2022-05-01";"1969 Corvair Monza";43.0;691;"Classic Cars";589;0.06
"2022-05-01";"18th century schooner";41.0;190;"Ships";743;0.22
"2022-05-01";"1969 Ford Falcon";39.0;105;"Classic Cars";915;0.37
"2022-05-01";"The Mayflower";38.0;74;"Ships";997;0.51
"2022-05-01";"2001 Ferrari Enzo";33.0;362;"Classic Cars";1409;0.09
"2022-05-01";"1903 Ford Model A";26.0;391;"Vintage Cars";2031;0.07
"2022-05-01";"1904 Buick Runabout";23.0;829;"Vintage Cars";2296;0.03
"2022-05-01";"1970 Triumph Spitfire";22.0;555;"Classic Cars";2370;0.04
"2022-05-01";"Collectable Wooden Train";21.0;645;"Trains";2458;0.03
"2022-05-01";"1962 City of Detroit Streetcar";21.0;165;"Trains";2458;0.13
"2022-05-06";"The Titanic";36.0;196;"Ships";1154;0.18
"2022-05-13";"1972 Alfa Romeo GTA";46.0;325;"Classic Cars";320;0.14
"2022-05-13";"1980s Black Hawk Helicopter";43.0;533;"Planes";589;0.08
"2022-05-13";"1900s Vintage Bi-Plane";41.0;594;"Planes";743;0.07
"2022-05-13";"The USS Constitution Ship";38.0;708;"Ships";997;0.05
"2022-05-13";"1912 Ford Model T Delivery Wagon";35.0;917;"Vintage Cars";1234;0.04
"2022-05-13";"1940 Ford Delivery Sedan";35.0;662;"Vintage Cars";1234;0.05
"2022-05-13";"HMS Bounty";29.0;350;"Ships";1763;0.08
"2022-05-13";"Corsair F4U ( Bird Cage)";28.0;681;"Planes";1857;0.04
"2022-05-13";"Boeing X-32A JSF";28.0;486;"Planes";1857;0.06
"2022-05-13";"1941 Chevrolet Special Deluxe Cabriolet";27.0;238;"Vintage Cars";1935;0.11
"2022-05-13";"American Airlines: MD-11S";26.0;882;"Planes";2031;0.03
"2022-05-13";"The Schooner Bluenose";25.0;190;"Ships";2119;0.13
"2022-05-13";"1999 Yamaha Speed Boat";21.0;426;"Ships";2458;0.05
"2022-05-13";"1937 Horch 930V Limousine";20.0;290;"Vintage Cars";2556;0.07
"2022-05-14";"1930 Buick Marquette Phaeton";49.0;706;"Vintage Cars";77;0.07
"2022-05-14";"American Airlines: B767-300";47.0;584;"Planes";256;0.08
"2022-05-14";"2003 Harley-Davidson Eagle Drag Bike";46.0;558;"Motorcycles";320;0.08
"2022-05-14";"1936 Harley Davidson El Knucklehead";46.0;436;"Motorcycles";320;0.11
"2022-05-14";"F/A 18 Hornet 1/72";43.0;55;"Planes";589;0.78
"2022-05-14";"1928 British Royal Navy Airplane";39.0;363;"Planes";915;0.11
"2022-05-14";"1997 BMW R 1100 S";35.0;700;"Motorcycles";1234;0.05
"2022-05-14";"1960 BSA Gold Star DBD34";34.0;2;"Motorcycles";1301;17.0
"2022-05-14";"1996 Moto Guzzi 1100i";29.0;663;"Motorcycles";1763;0.04
"2022-05-14";"P-51-D Mustang";29.0;99;"Planes";1763;0.29
"2022-05-14";"1900s Vintage Tri-Plane";29.0;276;"Planes";1763;0.11
"2022-05-14";"1928 Ford Phaeton Deluxe";29.0;14;"Vintage Cars";1763;2.07
"2022-05-14";"America West Airlines B757-200";24.0;965;"Planes";2211;0.02
"2022-05-14";"ATA: B757-300";24.0;711;"Planes";2211;0.03
"2022-05-14";"1997 BMW F650 ST";22.0;18;"Motorcycles";2370;1.22
"2022-05-22";"2002 Suzuki XREO";50.0;1000;"Motorcycles";12;0.05
"2022-05-22";"2002 Yamaha YZR M1";44.0;60;"Motorcycles";502;0.73
"2022-05-22";"1969 Harley Davidson Ultimate Chopper";34.0;793;"Motorcycles";1301;0.04
"2022-05-22";"1982 Ducati 900 Monster";32.0;684;"Motorcycles";1503;0.05
"2022-05-22";"1974 Ducati 350 Mk3 Desmo";25.0;334;"Motorcycles";2119;0.07
"2022-05-23";"1948 Porsche 356-A Roadster";43.0;883;"Classic Cars";589;0.05
"2022-05-23";"1956 Porsche 356A Coupe";43.0;660;"Classic Cars";589;0.07
"2022-05-23";"1968 Ford Mustang";42.0;7;"Classic Cars";670;6.0
"2022-05-23";"1982 Lamborghini Diablo";39.0;772;"Classic Cars";915;0.05
"2022-05-23";"1968 Dodge Charger";37.0;912;"Classic Cars";1082;0.04
"2022-05-23";"1957 Vespa GS150";35.0;769;"Motorcycles";1234;0.05
"2022-05-23";"1993 Mazda RX-7";34.0;398;"Classic Cars";1301;0.09
"2022-05-23";"1971 Alpine Renault 1600s";34.0;800;"Classic Cars";1301;0.04
"2022-05-23";"1970 Plymouth Hemi Cuda";32.0;566;"Classic Cars";1503;0.06
"2022-05-23";"1995 Honda Civic";31.0;977;"Classic Cars";1589;0.03
"2022-05-23";"1982 Ducati 996 R";31.0;924;"Motorcycles";1589;0.03
"2022-05-23";"1961 Chevrolet Impala";29.0;787;"Classic Cars";1763;0.04
"2022-05-23";"1957 Corvette Convertible";28.0;125;"Classic Cars";1857;0.22
"2022-05-23";"1992 Ferrari 360 Spider red";25.0;835;"Classic Cars";2119;0.03
"2022-05-23";"1969 Dodge Super Bee";21.0;192;"Classic Cars";2458;0.11
"2022-05-23";"1976 Ford Gran Torino";21.0;913;"Classic Cars";2458;0.02
"2022-05-23";"1969 Dodge Charger";20.0;732;"Classic Cars";2556;0.03
"2022-06-04";"1966 Shelby Cobra 427 S/C";50.0;820;"Classic Cars";12;0.06
"2022-06-04";"1999 Indy 500 Monte Carlo SS";46.0;816;"Classic Cars";320;0.06
"2022-06-04";"1948 Porsche Type 356 Roadster";34.0;899;"Classic Cars";1301;0.04
"2022-06-04";"1965 Aston Martin DB5";26.0;904;"Classic Cars";2031;0.03
"2022-06-05";"1969 Chevrolet Camaro Z28";49.0;470;"Classic Cars";77;0.1
"2022-06-05";"1936 Mercedes Benz 500k Roadster";46.0;208;"Vintage Cars";320;0.22
"2022-06-05";"1939 Chevrolet Deluxe Coupe";45.0;733;"Vintage Cars";416;0.06
"2022-06-05";"2002 Chevy Corvette";43.0;945;"Classic Cars";589;0.05
"2022-06-05";"1911 Ford Town Car";42.0;54;"Vintage Cars";670;0.78
"2022-06-05";"1932 Model A Ford J-Coupe";42.0;935;"Vintage Cars";670;0.04
"2022-06-05";"1932 Alfa Romeo 8C2300 Spider Sport";36.0;655;"Vintage Cars";1154;0.05
"2022-06-05";"1928 Mercedes-Benz SSK";34.0;55;"Vintage Cars";1301;0.62
"2022-06-05";"1949 Jaguar XK 120";32.0;235;"Classic Cars";1503;0.14
"2022-06-05";"1937 Lincoln Berline";32.0;869;"Vintage Cars";1503;0.04
"2022-06-05";"1952 Citroen-15CV";25.0;145;"Classic Cars";2119;0.17
"2022-06-05";"1957 Ford Thunderbird";23.0;321;"Classic Cars";2296;0.07
"2022-06-05";"1970 Chevy Chevelle SS 454";22.0;101;"Classic Cars";2370;0.22
"2022-06-05";"1938 Cadillac V-16 Presidential Limousine";22.0;285;"Vintage Cars";2370;0.08
"2022-06-05";"1917 Grand Touring Sedan";21.0;272;"Vintage Cars";2458;0.08
"2022-06-12";"1940s Ford truck";50.0;313;"Trucks and Buses";12;0.16
"2022-06-12";"1934 Ford V8 Coupe";46.0;565;"Vintage Cars";320;0.08
"2022-06-12";"1982 Camaro Z28";45.0;693;"Classic Cars";416;0.06
"2022-06-12";"1926 Ford Fire Engine";43.0;202;"Trucks and Buses";589;0.21
"2022-06-12";"1939 Cadillac Limousine";43.0;665;"Vintage Cars";589;0.06
"2022-06-12";"1980’s GM Manhattan Express";43.0;510;"Trucks and Buses";589;0.08
"2022-06-12";"1936 Mercedes-Benz 500K Special Roadster";42.0;864;"Vintage Cars";670;0.05
"2022-06-12";"1952 Alpine Renault 1300";38.0;731;"Classic Cars";997;0.05
"2022-06-12";"1940 Ford Pickup Truck";38.0;261;"Trucks and Buses";997;0.15
"2022-06-12";"1917 Maxwell Touring Car";38.0;791;"Vintage Cars";997;0.05
"2022-06-12";"1936 Chrysler Airflow";34.0;471;"Vintage Cars";1301;0.07
"2022-06-12";"1913 Ford Model T Speedster";31.0;419;"Vintage Cars";1589;0.07
"2022-06-12";"18th Century Vintage Horse Carriage";30.0;599;"Vintage Cars";1688;0.05
"2022-06-12";"1962 Volkswagen Microbus";27.0;233;"Trucks and Buses";1935;0.12
"2022-06-12";"1996 Peterbilt 379 Stake Bed with Outrigger";26.0;81;"Trucks and Buses";2031;0.32
"2022-06-12";"1962 LanciaA Delta 16V";22.0;679;"Classic Cars";2370;0.03
"2022-06-12";"1958 Setra Bus";21.0;158;"Trucks and Buses";2458;0.13
"2022-06-18";"2001 Ferrari Enzo";46.0;362;"Classic Cars";320;0.13
"2022-06-18";"1969 Corvair Monza";46.0;691;"Classic Cars";320;0.07
"2022-06-18";"Diamond T620 Semi-Skirted Tanker";46.0;102;"Trucks and Buses";320;0.45
"2022-06-18";"1962 City of Detroit Streetcar";46.0;165;"Trains";320;0.28
"2022-06-18";"1998 Chrysler Plymouth Prowler";45.0;472;"Classic Cars";416;0.1
"2022-06-18";"1964 Mercedes Tour Bus";45.0;826;"Trucks and Buses";416;0.05
"2022-06-18";"1954 Greyhound Scenicruiser";45.0;287;"Trucks and Buses";416;0.16
"2022-06-18";"1969 Ford Falcon";42.0;105;"Classic Cars";670;0.4
"2022-06-18";"1958 Chevy Corvette Limited Edition";39.0;254;"Classic Cars";915;0.15
"2022-06-18";"1950's Chicago Surface Lines Streetcar";29.0;860;"Trains";1763;0.03
"2022-06-18";"1970 Triumph Spitfire";25.0;555;"Classic Cars";2119;0.05
"2022-06-18";"1957 Chevy Pickup";24.0;613;"Trucks and Buses";2211;0.04
"2022-06-18";"1992 Ferrari 360 Spider red";22.0;835;"Classic Cars";2370;0.03
"2022-06-18";"1970 Dodge Coronet";20.0;407;"Classic Cars";2556;0.05
"2022-06-18";"1992 Porsche Cayenne Turbo Silver";20.0;658;"Classic Cars";2556;0.03
"2022-06-21";"1904 Buick Runabout";43.0;829;"Vintage Cars";589;0.05
"2022-06-21";"1903 Ford Model A";41.0;391;"Vintage Cars";743;0.1
"2022-06-21";"Collectable Wooden Train";41.0;645;"Trains";743;0.06
"2022-06-21";"The Mayflower";32.0;74;"Ships";1503;0.43
"2022-06-27";"1940 Ford Delivery Sedan";50.0;662;"Vintage Cars";12;0.08
"2022-06-27";"18th century schooner";45.0;190;"Ships";416;0.24
"2022-06-27";"The USS Constitution Ship";45.0;708;"Ships";416;0.06
"2022-06-27";"The Titanic";42.0;196;"Ships";670;0.21
"2022-06-27";"1912 Ford Model T Delivery Wagon";41.0;917;"Vintage Cars";743;0.04
"2022-06-27";"1972 Alfa Romeo GTA";33.0;325;"Classic Cars";1409;0.1
"2022-06-27";"Pont Yacht";32.0;41;"Ships";1503;0.78
"2022-06-27";"The Schooner Bluenose";31.0;190;"Ships";1589;0.16
"2022-06-27";"The Queen Mary";30.0;509;"Ships";1688;0.06
"2022-07-01";"Corsair F4U ( Bird Cage)";50.0;681;"Planes";12;0.07
"2022-07-01";"1999 Yamaha Speed Boat";40.0;426;"Ships";835;0.09
"2022-07-01";"America West Airlines B757-200";40.0;965;"Planes";835;0.04
"2022-07-01";"1900s Vintage Bi-Plane";35.0;594;"Planes";1234;0.06
"2022-07-01";"1941 Chevrolet Special Deluxe Cabriolet";33.0;238;"Vintage Cars";1409;0.14
"2022-07-01";"1937 Horch 930V Limousine";29.0;290;"Vintage Cars";1763;0.1
"2022-07-01";"American Airlines: MD-11S";26.0;882;"Planes";2031;0.03
"2022-07-01";"HMS Bounty";22.0;350;"Ships";2370;0.06
"2022-07-01";"1980s Black Hawk Helicopter";21.0;533;"Planes";2458;0.04
"2022-07-01";"Boeing X-32A JSF";21.0;486;"Planes";2458;0.04
"2022-07-10";"F/A 18 Hornet 1/72";36.0;55;"Planes";1154;0.65
"2022-07-12";"P-51-D Mustang";49.0;99;"Planes";77;0.49
"2022-07-12";"1928 Ford Phaeton Deluxe";49.0;14;"Vintage Cars";77;3.5
"2022-07-12";"1900s Vintage Tri-Plane";46.0;276;"Planes";320;0.17
"2022-07-12";"1928 British Royal Navy Airplane";41.0;363;"Planes";743;0.11
"2022-07-12";"1930 Buick Marquette Phaeton";27.0;706;"Vintage Cars";1935;0.04
"2022-07-12";"ATA: B757-300";27.0;711;"Planes";1935;0.04
"2022-07-12";"American Airlines: B767-300";24.0;584;"Planes";2211;0.04
"2022-07-12";"1997 BMW F650 ST";23.0;18;"Motorcycles";2296;1.28
"2022-07-16";"1960 BSA Gold Star DBD34";43.0;2;"Motorcycles";589;21.5
"2022-07-16";"1969 Harley Davidson Ultimate Chopper";41.0;793;"Motorcycles";743;0.05
"2022-07-16";"1997 BMW R 1100 S";35.0;700;"Motorcycles";1234;0.05
"2022-07-16";"2003 Harley-Davidson Eagle Drag Bike";31.0;558;"Motorcycles";1589;0.06
"2022-07-16";"1936 Harley Davidson El Knucklehead";30.0;436;"Motorcycles";1688;0.07
"2022-07-16";"1996 Moto Guzzi 1100i";27.0;663;"Motorcycles";1935;0.04
"2022-07-16";"2002 Suzuki XREO";20.0;1000;"Motorcycles";2556;0.02
"2022-07-17";"1968 Dodge Charger";48.0;912;"Classic Cars";163;0.05
"2022-07-17";"1948 Porsche 356-A Roadster";48.0;883;"Classic Cars";163;0.05
"2022-07-17";"1956 Porsche 356A Coupe";47.0;660;"Classic Cars";256;0.07
"2022-07-17";"1969 Dodge Super Bee";45.0;192;"Classic Cars";416;0.23
"2022-07-17";"1957 Vespa GS150";45.0;769;"Motorcycles";416;0.06
"2022-07-17";"2002 Yamaha YZR M1";44.0;60;"Motorcycles";502;0.73
"2022-07-17";"1968 Ford Mustang";42.0;7;"Classic Cars";670;6.0
"2022-07-17";"1976 Ford Gran Torino";42.0;913;"Classic Cars";670;0.05
"2022-07-17";"1982 Ducati 996 R";33.0;924;"Motorcycles";1409;0.04
"2022-07-17";"1957 Corvette Convertible";31.0;125;"Classic Cars";1589;0.25
"2022-07-17";"1974 Ducati 350 Mk3 Desmo";30.0;334;"Motorcycles";1688;0.09
"2022-07-17";"1969 Dodge Charger";29.0;732;"Classic Cars";1763;0.04
"2022-07-17";"1982 Ducati 900 Monster";29.0;684;"Motorcycles";1763;0.04
"2022-07-17";"1971 Alpine Renault 1600s";27.0;800;"Classic Cars";1935;0.03
"2022-07-17";"1970 Plymouth Hemi Cuda";24.0;566;"Classic Cars";2211;0.04
"2022-07-17";"1961 Chevrolet Impala";23.0;787;"Classic Cars";2296;0.03
"2022-07-17";"1982 Lamborghini Diablo";20.0;772;"Classic Cars";2556;0.03
"2022-07-19";"1992 Ferrari 360 Spider red";41.0;835;"Classic Cars";743;0.05
"2022-07-19";"1995 Honda Civic";36.0;977;"Classic Cars";1154;0.04
